,Frequencia,Amplitude(V),Amplitude(V)2
51,-448.5,2.617119842505106e-05,3.890425279891283e-05
52,-447.5,2.6710248717955306e-05,3.7015674747845275e-05
53,-446.5,2.725084779127729e-05,4.2963346620482156e-05
54,-445.5,2.7793029434108962e-05,4.089632171500692e-05
55,-444.5,2.8336827668412547e-05,4.7512017385047126e-05
56,-443.5,2.888227676810324e-05,4.524435911909596e-05
57,-442.5,2.9429411256805577e-05,5.263111283997555e-05
58,-441.5,2.9978265919786204e-05,5.013597619725735e-05
59,-440.5,3.052887580336586e-05,5.8419784418743655e-05
60,-439.5,3.108127622828991e-05,5.566439519667089e-05
61,-438.5,3.163550278856759e-05,6.500114364320043e-05
62,-437.5,3.219159136370209e-05,6.194507190093347e-05
63,-436.5,3.27495781207314e-05,7.253021332257185e-05
64,-435.5,3.3309499524999756e-05,6.912298350265718e-05
65,-434.5,3.3871392341839384e-05,8.120537380446899e-05
66,-433.5,3.443529364616728e-05,7.738308582575532e-05
67,-432.5,3.500124082862392e-05,9.128530274557132e-05
68,-431.5,3.5569271602934504e-05,8.69657366879533e-05
69,-430.5,3.6139424011308934e-05,0.00010311487431568135
70,-429.5,3.671173643352604e-05,9.819019396569326e-05
71,-428.5,3.72862475911032e-05,0.0001171663245899784
72,-427.5,3.786299655813505e-05,0.00011149183355708876
73,-426.5,3.844202276499837e-05,0.00013410783672326344
74,-425.5,3.9023366009489104e-05,0.00012748395298717717
75,-424.5,3.960706646143315e-05,0.00015492465412882472
76,-423.5,4.0193164671794985e-05,0.0001470666129422662
77,-422.5,4.0781701580695674e-05,0.00018114924717929084
78,-421.5,4.137271852328005e-05,0.0001716331966202183
79,-420.5,4.1966257240902364e-05,0.00021534239524079337
80,-419.5,4.2562359888062544e-05,0.0002035027628736189
81,-418.5,4.3161069038891624e-05,0.00026223547185810254
82,-417.5,4.376242769880546e-05,0.0002469541513161281
83,-416.5,4.436647931018951e-05,0.00033197457509871953
84,-415.5,4.497326776462269e-05,0.00031122311701241404
85,-414.5,4.5582837407709295e-05,0.00045220146720996267
86,-413.5,4.619523305299158e-05,0.00042227476767797906
87,-412.5,4.681049998701278e-05,0.0007403284662112157
88,-411.5,4.7428683979674806e-05,0.0007064668951013219
89,-410.5,4.804983129311885e-05,0.0029452359443931423
90,-409.5,4.8673988695414676e-05,0.00470472067444546
91,-408.5,4.9301203465783184e-05,0.001156331826647493
92,-407.5,4.993152340880693e-05,4.259747857890808e-05
93,-406.5,5.056499686150497e-05,0.0004774287290222545
94,-405.5,5.1201672705097843e-05,0.00032742949548943395
95,-404.5,5.1841600375106455e-05,0.0008209029505956479
96,-403.5,5.24848298724783e-05,0.0007119904377923901
97,-402.5,5.3131411776224734e-05,0.0017959121674056117
98,-401.5,5.3781397251866194e-05,0.0016935933725863554
99,-400.5,5.4434838065249726e-05,0.010154469600768962
100,-399.5,5.509178659230131e-05,0.020251475225157863
101,-398.5,5.5752295832793433e-05,0.0029627024708717017
102,-397.5,5.641641942174793e-05,0.001821748396318405
103,-396.5,5.7084211642049776e-05,0.00047960056138697906
104,-395.5,5.7755727436964755e-05,0.0009156672672753902
105,-394.5,5.843102242266954e-05,0.0003827593926296746
106,-393.5,5.9110152901099586e-05,0.0005433207751731171
107,-392.5,5.979317587427323e-05,7.061709979152496e-05
108,-391.5,6.0480149058288136e-05,0.00016432217796117144
109,-390.5,6.11711308961472e-05,0.0020202631353305263
110,-389.5,6.1866180572637e-05,0.005587978879801494
111,-388.5,6.256535802749121e-05,0.0003465847505762006
112,-387.5,6.326872397248623e-05,0.0008989143714691773
113,-386.5,6.397633990541193e-05,0.0005131409849893579
114,-385.5,6.468826812562923e-05,0.0006395279139042029
115,-384.5,6.54045717485936e-05,0.00048419892762911916
116,-383.5,6.61253147242892e-05,0.0005344988808176197
117,-382.5,6.685056184959404e-05,0.00044400875763873866
118,-381.5,6.758037879106918e-05,0.0004731436052728489
119,-380.5,6.831483209585648e-05,0.00041175815255666286
120,-379.5,6.905398921535555e-05,0.00043163174175354777
121,-378.5,6.97979185147095e-05,0.00038649806575675094
122,-377.5,7.054668930117943e-05,0.00040131113642025065
123,-376.5,7.130037183392218e-05,0.0003664544229436428
124,-375.5,7.205903734744096e-05,0.00037812461642439826
125,-374.5,7.282275806996848e-05,0.0003503032209029984
126,-373.5,7.359160724400072e-05,0.00035985571391140614
127,-372.5,7.436565914463855e-05,0.0003371215704129369
128,-371.5,7.51449891026185e-05,0.0003451653470493239
129,-370.5,7.592967352378644e-05,0.0003262603601931268
130,-369.5,7.671978991168616e-05,0.0003331852060476525
131,-368.5,7.751541688843524e-05,0.0003172525006345564
132,-367.5,7.83166342191009e-05,0.00032332209794425646
133,-366.5,7.912352283338909e-05,0.000309753782621565
134,-365.5,7.993616484947099e-05,0.0003151542736299693
135,-364.5,8.075464359856295e-05,0.00030350497862372515
136,-363.5,8.157904364883723e-05,0.0003083722947456343
137,-362.5,8.240945083218567e-05,0.0002983071038898885
138,-361.5,8.324595226845562e-05,0.0003027432933620467
139,-360.5,8.408863639215624e-05,0.0002940048736391711
140,-359.5,8.493759298049815e-05,0.00029808833868540346
141,-358.5,8.579291318050628e-05,0.0002904753690763763
142,-357.5,8.66546895360022e-05,0.0002942675443158968
143,-356.5,8.752301601936024e-05,0.0002876200940320118
144,-355.5,8.839798805871518e-05,0.0002911699503246383
145,-354.5,8.927970256924357e-05,0.00028535929198050163
146,-353.5,9.016825798414725e-05,0.00028870646057779304
147,-352.5,9.10637542866737e-05,0.00028362780416815107
148,-351.5,9.19662930439939e-05,0.00028680479701216247
149,-350.5,9.287597743497151e-05,0.0002823720004295558
150,-349.5,9.379291229285454e-05,0.0002854058217556977
151,-348.5,9.47172041351453e-05,0.00028154747085411356
152,-347.5,9.564896119714124e-05,0.0002844608089470494
153,-346.5,9.658829347510933e-05,0.0002811172665124298
154,-345.5,9.753531275918805e-05,0.00028392938969510386
155,-344.5,9.849013267288558e-05,0.00028105054267040343
156,-343.5,9.945286871422639e-05,0.0002837779830545115
157,-342.5,0.00010042363829343845,0.00028132150132342116
158,-341.5,0.00010140256077792734,0.00028397858372612754
159,-340.5,0.00010238975753118589,0.00028190855933149305
160,-339.5,0.00010338535195954011,0.0002845078155580023
161,-338.5,0.00010438946955472284,0.00028279368868212623
162,-337.5,0.00010540223794060788,0.00028534618582877854
163,-336.5,0.00010642378692133889,0.00028396188963356083
164,-335.5,0.00010745424852699039,0.0002864774931390325
165,-334.5,0.00010849375706523599,0.00028540076757459335
166,-333.5,0.00010954244917211433,0.0002878883542311097
167,-332.5,0.0001106004638619157,0.00028710019169684024
168,-331.5,0.00011166794258437722,0.0002895678239391723
169,-330.5,0.00011274502927576368,0.00028905201888773413
170,-329.5,0.00011383187041688856,0.000291507088879011
171,-328.5,0.00011492861509258796,0.00029124987015887837
172,-327.5,0.000116035415047591,0.0002936992201607578
173,-326.5,0.00011715242474997196,0.00029368894984852515
174,-325.5,0.00011827980145333131,0.0002961389738743137
175,-324.5,0.0001194177052607398,0.0002963659000428094
176,-323.5,0.00012056629919042925,0.0002988226306929648
177,-322.5,0.00012172574924413046,0.0002992786843481455
178,-321.5,0.00012289622447735822,0.00030174786788882195
179,-320.5,0.0001240778970701529,0.0003024264964455556
180,-319.5,0.00012527094239778342,0.00030491365858345917
181,-318.5,0.00012647553911574106,0.00030580968987638474
182,-317.5,0.0001276918692253856,0.00030832019420295683
183,-316.5,0.00012892011816149985,0.0003094297263246551
184,-315.5,0.0001301604748724289,0.0003119688270388323
185,-314.5,0.0001314131319061285,0.000313289140286693
186,-313.5,0.0001326782854929517,0.0003158620305573758
187,-312.5,0.00013395613564049085,0.0003173915185836104
188,-311.5,0.0001352468862186287,0.00032000337567324297
189,-310.5,0.00013655074506285154,0.00032174149358067726
190,-309.5,0.0001378679240630827,0.00032439752172986225
191,-308.5,0.00013919863926955235,0.0003263447493960076
192,-307.5,0.00014054311099379106,0.0003290502213372603
193,-306.5,0.00014190156391454578,0.00033120804068835594
194,-305.5,0.00014327422718573706,0.0003339683385872412
195,-304.5,0.00014466133455175146,0.0003363392239308113
196,-303.5,0.0001460631244644367,0.0003391598805035919
197,-302.5,0.00014747984019918372,0.0003417473013930869
198,-301.5,0.0001489117299697992,0.0003446340419272611
199,-300.5,0.00015035904707908545,0.00034744247829234377
200,-299.5,0.000151822050024209,0.00035040126430048554
201,-298.5,0.0001533010026431398,0.0003534362339473495
202,-297.5,0.0001547961742522548,0.0003564733091886851
203,-296.5,0.0001563078397883183,0.0003597414079881333
204,-295.5,0.0001578362799544727,0.0003628633476798471
205,-294.5,0.00015938178137479286,0.0003663723031135728
206,-293.5,0.00016094463674944586,0.0003695860671742967
207,-292.5,0.00016252514501591202,0.0003733448062100408
208,-291.5,0.0001641236115159444,0.00037665779751450373
209,-290.5,0.00016574034816993044,0.0003806765301239067
210,-289.5,0.00016737567365326448,0.00038409665885989704
211,-288.5,0.00016902991357495143,0.0003883869788954519
212,-287.5,0.00017070340067180226,0.00039192273427113186
213,-286.5,0.00017239647500954036,0.0003964977398657872
214,-285.5,0.00017410948416868123,0.0004001582706583755
215,-284.5,0.00017584278346961463,0.0004050327068555012
216,-283.5,0.00017759673617638298,0.00040882791249734435
217,-282.5,0.00017937171372513154,0.0004140183394514408
218,-281.5,0.00018116809595137567,0.00041795897373822136
219,-280.5,0.00018298627133194676,0.00042348396461593156
220,-279.5,0.00018482663722460308,0.0004275817544996361
221,-278.5,0.00018668960012589592,0.0004334621281460584
222,-277.5,0.00018857557593177757,0.0004377299105858675
223,-276.5,0.0001904849902153131,0.00044398900521999294
224,-275.5,0.00019241827849749503,0.000448440885745124
225,-274.5,0.00019437588655141252,0.0004551048814119653
226,-273.5,0.00019635827068884947,0.00045975641884566217
227,-272.5,0.0001983658980866257,0.0004668547182067065
228,-271.5,0.0002003992470937327,0.00047172314106013353
229,-270.5,0.00020245880758769833,0.00047928882046755525
230,-269.5,0.0002045450812940401,0.00048439328186534775
231,-268.5,0.00020665858216727993,0.0004924636276665542
232,-267.5,0.00020879983675208637,0.0004978255073677444
233,-266.5,0.00021096938457259396,0.0005064426562917183
234,-265.5,0.00021316777852841993,0.0005120859206574784
235,-264.5,0.00021539558531282117,0.000521297628167694
236,-263.5,0.00021765338583936328,0.0005272492618337808
237,-262.5,0.00021994177569057425,0.0005371098290052066
238,-261.5,0.00022226136557844758,0.0005434003559393231
239,-260.5,0.00022461278182679467,0.0005539717541920906
240,-259.5,0.000226996666866081,0.0005606358709842803
241,-258.5,0.0002294136797550566,0.0005719891157994686
242,-257.5,0.00023186449671453805,0.0005790664670460029
243,-256.5,0.00023434981168986603,0.0005912833077258259
244,-255.5,0.00023687033692757132,0.000598819442891445
245,-254.5,0.00023942680357988674,0.0006119944572463337
246,-253.5,0.00024201996233094578,0.0006200420215397721
247,-252.5,0.00024465058405083554,0.0006342852346304466
