,Frequencia,Amplitude(V)1,Amplitude(V)2
0,-499.5,0.049999999879659196,0.049999999879659196
1,-498.5,0.05000063124178531,0.05000063124178531
2,-497.5,0.050002525429900566,0.050002525429900566
3,-496.5,0.05000568274925961,0.05000568274925961
4,-495.5,0.05001010370876796,0.05001010370876796
5,-494.5,0.05001578902120335,0.05001578902120335
6,-493.5,0.05002273960352625,0.05002273960352625
7,-492.5,0.05003095657727973,0.05003095657727973
8,-491.5,0.05004044126907831,0.05004044126907831
9,-490.5,0.050051195211187116,0.050051195211187116
10,-489.5,0.05006322014219159,0.05006322014219159
11,-488.5,0.05007651800775784,0.05007651800775784
12,-487.5,0.05009109096148523,0.05009109096148523
13,-486.5,0.05010694136585082,0.05010694136585082
14,-485.5,0.05012407179324745,0.05012407179324745
15,-484.5,0.05014248502711617,0.05014248502711617
16,-483.5,0.05016218406317355,0.05016218406317355
17,-482.5,0.05018317211073544,0.05018317211073544
18,-481.5,0.05020545259413814,0.05020545259413814
19,-480.5,0.050229029154258475,0.050229029154258475
20,-479.5,0.05025390565013387,0.05025390565013387
21,-478.5,0.05028008616068383,0.05028008616068383
22,-477.5,0.05030757498653483,0.05030757498653483
23,-476.5,0.05033637665194982,0.05033637665194982
24,-475.5,0.05036649590686443,0.05036649590686443
25,-474.5,0.05039793772903101,0.05039793772903101
26,-473.5,0.05043070732627392,0.05043070732627392
27,-472.5,0.05046481013885665,0.05046481013885665
28,-471.5,0.050500251841963266,0.050500251841963266
29,-470.5,0.05053703834829779,0.05053703834829779
30,-469.5,0.05057517581080213,0.05057517581080213
31,-468.5,0.05061467062549617,0.05061467062549617
32,-467.5,0.050655529434442625,0.050655529434442625
33,-466.5,0.05069775912883904,0.05069775912883904
34,-465.5,0.050741366852240524,0.050741366852240524
35,-464.5,0.05078636000391588,0.05078636000391588
36,-463.5,0.05083274624234034,0.05083274624234034
37,-462.5,0.05088053348882858,0.05088053348882858
38,-461.5,0.05092972993131154,0.05092972993131154
39,-460.5,0.05098034402826083,0.05098034402826083
40,-459.5,0.051032384512764095,0.051032384512764095
41,-458.5,0.05108586039675628,0.05108586039675628
42,-457.5,0.051140780975410596,0.051140780975410596
43,-456.5,0.05119715583169359,0.05119715583169359
44,-455.5,0.051254994841089176,0.051254994841089176
45,-454.5,0.051314308176496334,0.051314308176496334
46,-453.5,0.051375106313306204,0.051375106313306204
47,-452.5,0.05143740003466285,0.05143740003466285
48,-451.5,0.051501200436914224,0.051501200436914224
49,-450.5,0.05156651893525857,0.05156651893525857
50,-449.5,0.0516333672695931,0.0516333672695931
51,-448.5,0.05170175751056996,0.05170175751056996
52,-447.5,0.051771702065867974,0.051771702065867974
53,-446.5,0.05184321368668537,0.05184321368668537
54,-445.5,0.051916305474461945,0.051916305474461945
55,-444.5,0.051990990887837915,0.051990990887837915
56,-443.5,0.05206728374985709,0.05206728374985709
57,-442.5,0.052145198255423394,0.052145198255423394
58,-441.5,0.05222474897901843,0.05222474897901843
59,-440.5,0.0523059508826902,0.0523059508826902
60,-439.5,0.052388819324321864,0.052388819324321864
61,-438.5,0.052473370066190725,0.052473370066190725
62,-437.5,0.05255961928382734,0.05255961928382734
63,-436.5,0.052647583575187125,0.052647583575187125
64,-435.5,0.0527372799701434,0.0527372799701434
65,-434.5,0.05282872594031642,0.05282872594031642
66,-433.5,0.05292193940924901,0.05292193940924901
67,-432.5,0.053016938762942986,0.053016938762942986
68,-431.5,0.05311374286076896,0.05311374286076896
69,-430.5,0.05321237104676578,0.05321237104676578
70,-429.5,0.05331284316134195,0.05331284316134195
71,-428.5,0.053415179553398064,0.053415179553398064
72,-427.5,0.05351940109288338,0.05351940109288338
73,-426.5,0.05362552918380706,0.05362552918380706
74,-425.5,0.053733585777720125,0.053733585777720125
75,-424.5,0.05384359338768793,0.05384359338768793
76,-423.5,0.053955575102773906,0.053955575102773906
77,-422.5,0.054069554603054674,0.054069554603054674
78,-421.5,0.05418555617518891,0.05418555617518891
79,-420.5,0.0543036047285642,0.0543036047285642
80,-419.5,0.054423725812044854,0.054423725812044854
81,-418.5,0.054545945631347806,0.054545945631347806
82,-417.5,0.05467029106707298,0.05467029106707298
83,-416.5,0.05479678969341651,0.05479678969341651
84,-415.5,0.054925469797597715,0.054925469797597715
85,-414.5,0.05505636040003064,0.05505636040003064
86,-413.5,0.05518949127527331,0.05518949127527331
87,-412.5,0.05532489297379145,0.05532489297379145
88,-411.5,0.05546259684457117,0.05546259684457117
89,-410.5,0.05560263505862259,0.05560263505862259
90,-409.5,0.05574504063341278,0.05574504063341278
91,-408.5,0.055889847458274196,0.055889847458274196
92,-407.5,0.05603709032083292,0.05603709032083292
93,-406.5,0.05618680493450583,0.05618680493450583
94,-405.5,0.05633902796711865,0.05633902796711865
95,-404.5,0.056493797070698425,0.056493797070698425
96,-403.5,0.05665115091249888,0.05665115091249888
97,-402.5,0.056811129207318935,0.056811129207318935
98,-401.5,0.05697377275117957,0.05697377275117957
99,-400.5,0.057139123456427056,0.057139123456427056
100,-399.5,0.05730722438833547,0.05730722438833547
101,-398.5,0.05747811980328595,0.05747811980328595
102,-397.5,0.057651855188603336,0.057651855188603336
103,-396.5,0.057828477304138697,0.057828477304138697
104,-395.5,0.05800803422568883,0.05800803422568883
105,-394.5,0.058190575390352196,0.058190575390352196
106,-393.5,0.05837615164392447,0.05837615164392447
107,-392.5,0.05856481529044716,0.05856481529044716
108,-391.5,0.05875662014402509,0.05875662014402509
109,-390.5,0.05895162158304266,0.05895162158304266
110,-389.5,0.05914987660691107,0.05914987660691107
111,-388.5,0.059351443895491976,0.059351443895491976
112,-387.5,0.05955638387135189,0.05955638387135189
113,-386.5,0.05976475876501102,0.05976475876501102
114,-385.5,0.0599766326833629,0.0599766326833629
115,-384.5,0.06019207168145449,0.06019207168145449
116,-383.5,0.060411143837827,0.060411143837827
117,-382.5,0.06063391933363582,0.06063391933363582
118,-381.5,0.060860470535781065,0.060860470535781065
119,-380.5,0.061090872084298836,0.061090872084298836
120,-379.5,0.061325200984281604,0.061325200984281604
121,-378.5,0.061563536702616634,0.061563536702616634
122,-377.5,0.061805961269853084,0.061805961269853084
123,-376.5,0.06205255938753346,0.06205255938753346
124,-375.5,0.06230341854135028,0.06230341854135028
125,-374.5,0.0625586291205191,0.0625586291205191
126,-373.5,0.06281828454378882,0.06281828454378882
127,-372.5,0.06308248139254655,0.06308248139254655
128,-371.5,0.06335131955151037,0.06335131955151037
129,-370.5,0.06362490235754721,0.06362490235754721
130,-369.5,0.06390333675719469,0.06390333675719469
131,-368.5,0.06418673347352208,0.06418673347352208
132,-367.5,0.06447520718301421,0.06447520718301421
133,-366.5,0.06476887670322844,0.06476887670322844
134,-365.5,0.06506786519203972,0.06506786519203972
135,-364.5,0.06537230035936423,0.06537230035936423
136,-363.5,0.0656823146923343,0.0656823146923343
137,-362.5,0.06599804569499085,0.06599804569499085
138,-361.5,0.06631963614365892,0.06631963614365892
139,-360.5,0.0666472343592883,0.0666472343592883
140,-359.5,0.0669809944981672,0.0669809944981672
141,-358.5,0.06732107686255714,0.06732107686255714
142,-357.5,0.06766764823295823,0.06766764823295823
143,-356.5,0.06802088222389077,0.06802088222389077
144,-355.5,0.06838095966527723,0.06838095966527723
145,-354.5,0.06874806901173704,0.06874806901173704
146,-353.5,0.06912240678235662,0.06912240678235662
147,-352.5,0.0695041780337861,0.0695041780337861
148,-351.5,0.06989359686983725,0.06989359686983725
149,-350.5,0.070290886991127,0.070290886991127
150,-349.5,0.07069628228872901,0.07069628228872901
151,-348.5,0.07111002748627498,0.07111002748627498
152,-347.5,0.07153237883549464,0.07153237883549464
153,-346.5,0.07196360487080866,0.07196360487080866
154,-345.5,0.07240398722931278,0.07240398722931278
155,-344.5,0.07285382154332011,0.07285382154332011
156,-343.5,0.07331341841359204,0.07331341841359204
157,-342.5,0.07378310447250179,0.07378310447250179
158,-341.5,0.07426322354767358,0.07426322354767358
159,-340.5,0.07475413793815551,0.07475413793815551
160,-339.5,0.07525622981695984,0.07525622981695984
161,-338.5,0.07576990277589235,0.07576990277589235
162,-337.5,0.07629558353105875,0.07629558353105875
163,-336.5,0.07683372381035876,0.07683372381035876
164,-335.5,0.07738480244775783,0.07738480244775783
165,-334.5,0.07794932771328811,0.07794932771328811
166,-333.5,0.07852783991272838,0.07852783991272838
167,-332.5,0.07912091429695248,0.07912091429695248
168,-331.5,0.07972916432825972,0.07972916432825972
169,-330.5,0.08035324535994835,0.08035324535994835
170,-329.5,0.08099385879637197,0.08099385879637197
171,-328.5,0.08165175681428952,0.08165175681428952
172,-327.5,0.082327747743191,0.082327747743191
173,-326.5,0.08302270222341916,0.08302270222341916
174,-325.5,0.08373756028757992,0.08373756028757992
175,-324.5,0.08447333954467132,0.08447333954467132
176,-323.5,0.08523114468991182,0.08523114468991182
177,-322.5,0.08601217861966026,0.08601217861966026
178,-321.5,0.08681775550463111,0.08681775550463111
179,-320.5,0.08764931627223158,0.08764931627223158
180,-319.5,0.08850844707950542,0.08850844707950542
181,-318.5,0.08939690153527909,0.08939690153527909
182,-317.5,0.09031662767359873,0.09031662767359873
