,Tempo,Mensagem_Estimada,Mensagem
0,0.0,3.005192811526524e-09,1.0
1,0.001001001001001001,3.5543224370792545e-08,0.9980227772604111
2,0.002002002002002002,2.1133213987392574e-07,0.9920989278611685
3,0.003003003003003003,8.551255404219932e-07,0.9822518773417481
4,0.004004004004004004,2.6822352013765193e-06,0.9685205653265598
5,0.005005005005005005,7.017098902955123e-06,0.9509592915403253
6,0.006006006006006006,1.6032794395691675e-05,0.9296375010827771
7,0.007007007007007007,3.299549900808732e-05,0.9046395098117981
8,0.008008008008008008,6.25006317863821e-05,0.8760641709209582
9,0.009009009009009009,0.00011068929226284446,0.8440244840299503
10,0.01001001001001001,0.00018543594231101886,0.808647148333755
11,0.011011011011011011,0.00029650013272049816,0.7700720615775812
12,0.012012012012012012,0.00045563664696144854,0.7284517668388609
13,0.013013013013013013,0.0006766603382746525,0.6839508493039657
14,0.014014014014014014,0.0009754630590280173,0.6367452854250606
15,0.015015015015015015,0.0013699815615739203,0.5870217470308187
16,0.016016016016016016,0.0018801164250193294,0.5349768631428518
17,0.017017017017017015,0.002527602888149297,0.480816442416965
18,0.018018018018018018,0.0033358356511526397,0.42475465928404793
19,0.01901901901901902,0.004329650250675337,0.3670132070089654
20,0.02002002002002002,0.005535064368557472,0.30782042101662777
21,0.02102102102102102,0.006978983076970027,0.24741037595200252
22,0.022022022022022022,0.00868887226958698,0.18602196004469201
23,0.023023023023023025,0.010692405113859946,0.123897930438455
24,0.024024024024024024,0.013017086493202604,0.06128395322131638
25,0.025025025025025023,0.015689860580676507,-0.001572368047584414
26,0.026026026026026026,0.018736706939980065,-0.06442247147276806
27,0.02702702702702703,0.02218223038585803,-0.12701781974687876
28,0.028028028028028028,0.026049249954469018,-0.18911088297791617
29,0.029029029029029027,0.030358392221378996,-0.25045611753269825
30,0.03003003003003003,0.035127693942310925,-0.310810937025771
31,0.031031031031031032,0.04037221899192844,-0.36993667161404314
32,0.03203203203203203,0.04610369416224914,-0.42759951180366895
33,0.03303303303303303,0.05233016816275607,-0.4835714330369443
34,0.03403403403403403,0.05905569794566352,-0.5376310974029868
35,0.035035035035035036,0.0662800659279871,-0.5895647289064395
36,0.036036036036036036,0.07399853154468611,-0.6391669588329847
37,0.037037037037037035,0.0822016200473204,-0.6862416378687335
38,0.03803803803803804,0.0908749510269418,-0.7306026117619886
39,0.03903903903903904,0.09999910892844878,-0.7720744574600862
40,0.04004004004004004,0.10954955711920643,-0.8104931768102921
41,0.04104104104104104,0.11949659689356164,-0.8457068450815559
42,0.04204204204204204,0.12980537228861178,-0.8775762117425776
43,0.043043043043043044,0.14043592104343863,-0.9059752511204399
44,0.044044044044044044,0.15134327190985705,-0.930791660762262
45,0.04504504504504504,0.1624775877860893,-0.9519273055291264
46,0.04604604604604605,0.17378435398769776,-0.9692986056661356
47,0.04704704704704705,0.18520461056777554,-0.9828368673139948
48,0.04804804804804805,0.19667522703915516,-0.992488554155135
49,0.04904904904904905,0.20812921786049035,-0.9982154991201608
50,0.050050050050050046,0.21949609637798811,-0.9999950553174459
51,0.05105105105105105,0.23070226482292794,-0.9978201855890307
52,0.05205205205205205,0.2416714377252299,-0.9916994903386808
53,0.05305305305305305,0.2523250955989556,-0.9816571735220582
54,0.05405405405405406,0.26258296591106395,-0.9677329469334989
55,0.055055055055055056,0.2723635278147691,-0.949981873167887
56,0.056056056056056056,0.2815845371190927,-0.9284741478786258
57,0.057057057057057055,0.2901635679155719,-0.9032948221927524
58,0.058058058058058054,0.29801856688288025,-0.8745434663808944
59,0.05905905905905906,0.3050684165763447,-0.8423337761120617
60,0.06006006006006006,0.3112335036661961,-0.8067931228503245
61,0.06106106106106106,0.31643628815572866,-0.7680620501712998
62,0.062062062062062065,0.3206018697468638,-0.7262937179902472
63,0.06306306306306306,0.3236585472526331,-0.6816532968995332
64,0.06406406406406406,0.3255383673353331,-0.634317315010528
65,0.06506506506506507,0.32617765871310034,-0.5844729598828149
66,0.06606606606606606,0.3255175481012507,-0.5323173383011922
67,0.06706706706706707,0.32350445445139525,-0.4780566968276358
68,0.06806806806806806,0.32009055792420954,-0.42190560621052026
69,0.06906906906906907,0.3152342404518916,-0.3640861128762842
70,0.07007007007007007,0.30890049481359894,-0.30482686085895305
71,0.07107107107107107,0.3010612992962404,-0.2443621876397672
72,0.07207207207207207,0.2916959554254114,-0.18293119747238726
73,0.07307307307307308,0.280791386257193,-0.1207768158581612
74,0.07407407407407407,0.26834239312470487,-0.05814482891047624
75,0.07507507507507508,0.2543518689795069,0.004717088593032201
76,0.07607607607607608,0.2388309666081345,0.06756035262687816
77,0.07707707707707707,0.22179922047679299,0.1301364529297071
78,0.07807807807807808,0.2032846210758861,0.19219793572457283
79,0.07907907907907907,0.18332364096674966,0.25349938226140434
80,0.08008008008008008,0.16196121211823247,0.31379837931207877
81,0.08108108108108109,0.1392506542199588,0.3728564777803084
82,0.08208208208208208,0.11525355413331113,0.4304401356355976
83,0.08308308308308308,0.09003959684383245,0.4863216414424667
84,0.08408408408408408,0.06368634849111084,0.5402800148329067
85,0.08508508508508508,0.036278992526592,0.5921018803612005
86,0.08608608608608609,0.007910020083045328,0.6415823112854881
87,0.08708708708708708,-0.021321123940397237,0.6885256399393918
88,0.08808808808808809,-0.05130843731985467,0.7327462314891398
89,0.0890890890890891,-0.08193979765390944,0.774069218016391
90,0.09009009009009009,-0.11309743788619599,0.8123311900238854
91,0.09109109109109109,-0.1446584579200687,0.8473808426293961
92,0.0920920920920921,-0.17649536972214397,0.879079573892629
