,Tempo,Mensagem,Mensagem2,Sinal,Sinal_retificado,Mensagem_estimada
0,0.0,1.5,1.0,1.5,1.5,-1.815884482188589
1,0.001001001001001001,1.4990113886302057,0.9980227772604111,1.2121712847356378,1.2121712847356378,-1.8158843261178732
2,0.002002002002002002,1.4960494639305844,0.9920989278611685,0.4605145758488127,0.4605145758488127,-1.815883436163239
3,0.003003003003003003,1.4911259386708742,0.9822518773417481,-0.4634582502217271,0.0,-1.8158800493999254
4,0.004004004004004004,1.4842602826632798,0.9685205653265598,-1.2029828317091038,0.0,-1.8158702447225594
5,0.005005005005005005,1.4754796457701627,0.9509592915403253,-1.4754723499916993,0.0,-1.8158469352191835
6,0.006006006006006006,1.4648187505413885,0.9296375010827771,-1.181805694158997,0.0,-1.815799070450816
7,0.007007007007007007,1.452319754905899,0.9046395098117981,-0.4427060718514093,0.0,-1.8157111405130972
8,0.008008008008008008,1.4380320854604791,0.8760641709209582,0.4512521378162671,0.4512521378162671,-1.8155629671868811
9,0.009009009009009009,1.4220122420149752,0.8440244840299503,1.155144896784559,1.155144896784559,-1.8153297093843506
10,0.01001001001001001,1.4043235741668774,0.808647148333755,1.4042957984984383,1.4042957984984383,-1.8149819467828967
11,0.011011011011011011,1.3850360307887906,0.7700720615775812,1.1148586016958901,1.1148586016958901,-1.8144856496503374
12,0.012012012012012012,1.3642258834194305,0.7284517668388609,0.41176468877548644,0.41176468877548644,-1.8138018800293856
13,0.013013013013013013,1.3419754246519828,0.6839508493039657,-0.425114622955516,0.0,-1.8128862315122407
14,0.014014014014014014,1.3183726427125304,0.6367452854250606,-1.0733678130201887,0.0,-1.8116882007670165
15,0.015015015015015015,1.2935108735154093,0.5870217470308187,-1.2934533098890744,0.0,-1.8101507515102946
16,0.016016016016016016,1.2674884315714259,0.5349768631428518,-1.0178707228971169,0.0,-1.8082102479867639
17,0.017017017017017015,1.2404082212084826,0.480816442416965,-0.37067208995669404,0.0,-1.8057967974402853
18,0.018018018018018018,1.212377329642024,0.42475465928404793,0.38767453298754023,0.38767453298754023,-1.8028349487433426
19,0.01901901901901902,1.1835066035044828,0.3670132070089654,0.9657213848719414,0.9657213848719414,-1.799244647945875
20,0.02002002002002002,1.1539102105083139,0.30782042101662777,1.1538189201218374,1.1538189201218374,-1.7949423028837754
21,0.02102102102102102,1.1237051879760012,0.24741037595200252,0.9002937724143312,0.9002937724143312,-1.7898417681650556
22,0.022022022022022022,1.093010980022346,0.18602196004469201,0.323343483574924,0.323343483574924,-1.7838550997118516
23,0.023023023023023025,1.0619489652192275,0.123897930438455,-0.34273549953305493,0.0,-1.7768930677733588
24,0.024024024024024024,1.0306419766106583,0.06128395322131638,-0.8428558719365549,0.0,-1.7688655723056244
25,0.025025025025025023,0.9992138159762078,-0.001572368047584414,-0.9990902985411647,0.0,-1.7596821590669078
26,0.026026026026026026,0.9677887642636159,-0.06442247147276806,-0.7735510611545434,0.0,-1.7492527662407027
27,0.02702702702702703,0.9364910901265606,-0.12701781974687876,-0.2742259162866552,0.0,-1.7374887215567347
28,0.028028028028028028,0.9054445585110419,-0.18911088297791617,0.29491852302054816,0.29491852302054816,-1.7243039383746828
29,0.029029029029029027,0.8747719412336509,-0.25045611753269825,0.7169654693306493,0.7169654693306493,-1.7096162256517196
30,0.03003003003003003,0.8445945314871145,-0.310810937025771,0.8444441907571935,0.8444441907571935,-1.6933485929695595
31,0.031031031031031032,0.8150316641929785,-0.36993667161404314,0.6499092522702553,0.6499092522702553,-1.6754304048313964
32,0.03203203203203203,0.7862002440981655,-0.42759951180366895,0.2278521795670605,0.2278521795670605,-1.6557982703979404
33,0.03303303303303303,0.7582142834815279,-0.4835714330369443,-0.249216279079803,0.0,-1.6343966607889064
34,0.03403403403403403,0.7311844512985066,-0.5376310974029868,-0.6005951961965399,0.0,-1.6111783604701744
35,0.035035035035035036,0.7052176355467803,-0.5895647289064395,-0.705046775516108,0.0,-1.5861048981168988
36,0.036036036036036036,0.6804165205835077,-0.6391669588329847,-0.5412727472425318,0.0,-1.5591470519171053
37,0.037037037037037035,0.6568791810656333,-0.6862416378687335,-0.18839507263023794,0.0,-1.5302854453807229
38,0.03803803803803804,0.6346986941190057,-0.7306026117619886,0.21050215851902757,0.21050215851902757,-1.49951119945916
39,0.03903903903903904,0.6139627712699569,-0.7720744574600862,0.5054079746674188,0.5054079746674188,-1.4668265839930563
40,0.04004004004004004,0.594753411594854,-0.8104931768102921,0.5945652058902787,0.5945652058902787,-1.432245588619016
41,0.04104104104104104,0.577146577459222,-0.8457068450815559,0.4580192404879996,0.4580192404879996,-1.3957943152323284
42,0.04204204204204204,0.5612118941287112,-0.8775762117425776,0.1592658711463204,0.1592658711463204,-1.3575111175815802
43,0.043043043043043044,0.5470123744397801,-0.9059752511204399,-0.1830423382697981,0.0,-1.3174464888510002
44,0.044044044044044044,0.534604169618869,-0.930791660762262,-0.44103311729231837,0.0,-1.2756627789338815
45,0.04504504504504504,0.5240363472354368,-0.9519273055291264,-0.5238264744086283,0.0,-1.232233850574647
46,0.04604604604604605,0.5153506971669322,-0.9692986056661356,-0.4079903886544796,0.0,-1.187244748092433
47,0.04704704704704705,0.5085815663430027,-0.9828368673139948,-0.14279564102300712,0.0,-1.1407913969085306
48,0.04804804804804805,0.5037557229224325,-0.992488554155135,0.1700597333484799,0.1700597333484799,-1.0929803165984713
49,0.04904904904904905,0.5008922504399196,-0.9982154991201608,0.4141099541073683,0.4141099541073683,-1.0439283128930088
