,Frequencia,Amplitude(V),Amplitude2(V)
481,-18.5,0.0010086601935886707,0.0003090940944264392
482,-17.5,0.0010077652854957114,0.0002772286873819344
483,-16.5,0.0010069202964292708,0.0002356306451828965
484,-15.5,0.001006124965050956,0.00017933458643297538
485,-14.5,0.0010053790460417217,9.937798739872431e-05
486,-13.5,0.0010046823098948747,2.2212176216801323e-05
487,-12.5,0.001004034542741497,0.00022749460107200875
488,-11.5,0.0010034355461656585,0.0006431448643999552
489,-10.5,0.0010028851370793125,0.0019078542647735885
490,-9.5,0.0010023831475457624,0.2505842199405109
491,-8.5,0.0010019294246720201,0.003109236752853176
492,-7.5,0.001001523830477236,0.001884016386076553
493,-6.5,0.0010011662417950152,0.0014785805658716587
494,-5.5,0.001000856550159331,0.001280434019184809
495,-4.5,0.0010005946617509065,0.001166270137483747
496,-3.5,0.0010003804972960727,0.001095043743440888
497,-2.5,0.0010002139920213817,0.0010493607335942021
498,-1.5,0.0010000950955971592,0.0010207984948824688
499,-0.5,0.001000023772104987,0.0010050424679260903
500,0.5,0.001000000000000943,0.0009999999999991723
501,1.5,0.001000023772104986,0.0010050424679260894
502,2.5,0.0010000950955971557,0.0010207984948824701
503,3.5,0.0010002139920213826,0.0010493607335942017
504,4.5,0.001000380497296073,0.001095043743440888
505,5.5,0.0010005946617509074,0.0011662701374837493
506,6.5,0.0010008565501593344,0.0012804340191848085
507,7.5,0.0010011662417950136,0.0014785805658716602
508,8.5,0.001001523830477236,0.0018840163860765547
509,9.5,0.0010019294246720208,0.0031092367528531787
510,10.5,0.001002383147545727,0.2505842199405109
511,11.5,0.0010028851370793162,0.0019078542647735903
512,12.5,0.001003435546165659,0.000643144864399956
513,13.5,0.0010040345427414965,0.0002274946010720082
514,14.5,0.0010046823098948721,2.2212176216803123e-05
515,15.5,0.0010053790460417215,9.937798739872217e-05
516,16.5,0.0010061249650509558,0.00017933458643297438
517,17.5,0.0010069202964292725,0.00023563064518289826
518,18.5,0.0010077652854957057,0.00027722868738192614
519,19.5,0.0010086601935886687,0.0003090940944264403
520,20.5,0.001009605298250182,0.0003341970836836964
521,21.5,0.0010106008934720574,0.0003544214570256092
522,22.5,0.0010116472899192226,0.0003710184188548173
