,Tempo,Amplitude(V),Mensagem
0,0.0,1.0,1.0
1,0.001001001001001001,0.8082473306107362,0.9995055720856215
2,0.002002002002002002,0.3072117914804839,0.9980227772604111
3,0.003003003003003003,-0.3094287862114971,0.9955530817946746
4,0.004004004004004004,-0.8040894117522832,0.9920989278611685
5,0.005005005005005005,-0.9876588474365227,0.9876637311201433
6,0.006006006006006006,-0.7924740595461426,0.9822518773417481
7,0.007007007007007007,-0.29747099793946546,0.9758687180691361
8,0.008008008008008008,0.30392018372989277,0.9685205653265598
9,0.009009009009009009,0.7800123380512698,0.9602146853776895
10,0.01001001001001001,0.9509404828195528,0.9509592915403253
11,0.011011011011011011,0.757249845512078,0.9407635360646109
12,0.012012012012012012,0.2805927529742386,0.9296375010827771
13,0.013013013013013013,-0.29067734783706023,0.9175921886393665
14,0.014014014014014014,-0.7365223615536393,0.9046395098117981
15,0.015015015015015015,-0.8907526310282833,0.8907922729320283
16,0.016016016016016016,-0.7035331043250855,0.8760641709209582
17,0.017017017017017015,-0.25713480586657134,0.8604697677481078
18,0.018018018018018018,0.26988858144763744,0.8440244840299503
19,0.01901901901901902,0.6746096051250622,0.8267445817811464
20,0.02002002002002002,0.808583173069456,0.808647148333755
21,0.02102102102102102,0.6327345338366754,0.789750079440326
22,0.022022022022022022,0.22780904084708087,0.7700720615775812
23,0.023023023023023025,-0.24193788599447205,0.7496325534681825
24,0.024024024024024024,-0.5957256380356347,0.7284517668388609
25,0.025025025025025023,-0.706463306445053,0.7065506464339324
26,0.026026026026026026,-0.5466801483887864,0.6839508493039657
27,0.02702702702702703,-0.19346060341545063,0.6606747233900815
28,0.028028028028028028,0.20739865003624755,0.6367452854250606
29,0.029029029029029027,0.5017494780090325,0.6121861981731137
30,0.03003003003003003,0.5869172551419441,0.5870217470308187
31,0.031031031031031032,0.44756420129078034,0.5612768160123651
32,0.03203203203203203,0.1550440173481145,0.5349768631428518
33,0.03303303303303303,-0.16702234505977817,0.5081478952839693
34,0.03403403403403403,-0.39494281512018414,0.480816442416965
35,0.035035035035035036,-0.45289977632204015,0.453009531408314
36,0.036036036036036036,-0.33789320861518607,0.42475465928404793
37,0.037037037037037035,-0.11359695731148294,0.3960797660391569
38,0.03803803803803804,0.12172243774286426,0.3670132070089654
39,0.03903903903903904,0.2778955249908609,0.33758372482979226
40,0.04004004004004004,0.3077230133211179,0.30782042101662777
41,0.04104104104104104,0.2204225029094258,0.2777527271859307
42,0.04204204204204204,0.07021239119995772,0.24741037595200252
43,0.043043043043043044,-0.07255385576286995,0.21682337152571923
44,0.044044044044044044,-0.15346278533859364,0.18602196004469201
45,0.04504504504504504,-0.1549745086096329,0.15503659966419803
46,0.04604604604604605,-0.09808692424587342,0.123897930438455
47,0.04704704704704705,-0.026009836219640304,0.09263674402202741
48,0.04804804804804805,0.020688465200746773,0.06128395322131638
