,0
0,1.0
1,0.9999983517719386
2,0.9999934070975345
3,0.9999851660061273
4,0.9999736285466166
5,0.9999587947874612
6,0.9999406648166784
7,0.9999192387418443
8,0.9998945166900918
9,0.9998664988081106
10,0.9998351852621462
11,0.9998005762379978
12,0.9997626719410182
13,0.9997214725961113
14,0.9996769784477313
15,0.9996291897598805
16,0.9995781068161073
17,0.9995237299195052
18,0.9994660593927093
19,0.9994050955778949
20,0.9993408388367747
21,0.9992732895505967
22,0.9992024481201408
23,0.9991283149657165
24,0.99905089052716
25,0.9989701752638305
26,0.9988861696546075
27,0.9987988741978878
28,0.9987082894115804
29,0.9986144158331045
30,0.9985172540193853
31,0.9984168045468492
32,0.9983130680114212
33,0.9982060450285188
34,0.9980957362330498
35,0.9979821422794062
36,0.99786526384146
37,0.9977451016125588
38,0.9976216563055205
39,0.9974949286526287
40,0.9973649194056269
41,0.997231629335714
42,0.9970950592335377
43,0.9969552099091902
44,0.9968120821922019
45,0.9966656769315351
46,0.9965159949955787
47,0.9963630372721421
48,0.9962068046684478
49,0.9960472981111267
50,0.9958845185462103
51,0.9957184669391244
52,0.9955491442746822
53,0.9953765515570777
54,0.9952006898098782
55,0.995021560076017
56,0.9948391634177867
57,0.9946535009168307
58,0.9944645736741365
59,0.9942723828100274
60,0.994076929464155
61,0.9938782147954902
62,0.9936762399823164
63,0.9934710062222198
64,0.9932625147320825
65,0.9930507667480722
66,0.9928357635256346
67,0.9926175063394842
68,0.9923959964835953
69,0.9921712352711931
70,0.9919432240347439
71,0.9917119641259462
72,0.991477456915721
73,0.991239703794202
74,0.9909987061707258
75,0.9907544654738223
76,0.9905069831512039
77,0.9902562606697564
78,0.990002299515527
79,0.9897451011937157
80,0.9894846672286631
81,0.9892209991638408
82,0.9889540985618397
83,0.9886839670043592
84,0.988410606092196
85,0.9881340174452334
86,0.9878542027024291
87,0.9875711635218035
88,0.9872849015804289
89,0.9869954185744172
90,0.9867027162189074
91,0.9864067962480542
92,0.9861076604150156
93,0.9858053104919408
94,0.9854997482699563
95,0.9851909755591558
96,0.9848789941885845
97,0.9845638060062287
98,0.9842454128790011
99,0.9839238166927283
100,0.9835990193521376
101,0.9832710227808433
102,0.9829398289213331
103,0.9826054397349544
104,0.9822678572019011
105,0.9819270833211983
106,0.9815831201106893
107,0.9812359696070214
108,0.9808856338656304
109,0.9805321149607277
110,0.9801754149852843
111,0.9798155360510165
112,0.9794524802883713
113,0.9790862498465113
114,0.9787168468932989
115,0.9783442736152818
116,0.9779685322176771
117,0.9775896249243562
118,0.9772075539778284
119,0.9768223216392257
120,0.9764339301882866
121,0.9760423819233404
122,0.9756476791612899
123,0.9752498242375964
124,0.9748488195062627
125,0.9744446673398162
126,0.9740373701292921
127,0.9736269302842175
128,0.9732133502325935
129,0.972796632420878
130,0.9723767793139693
131,0.971953793395188
132,0.9715276771662593
133,0.9710984331472963
134,0.9706660638767814
135,0.9702305719115489
136,0.9697919598267666
137,0.9693502302159175
138,0.9689053856907824
139,0.9684574288814205
140,0.9680063624361515
141,0.9675521890215361
142,0.9670949113223588
143,0.9666345320416071
144,0.9661710539004538
145,0.9657044796382369
146,0.9652348120124413
147,0.9647620537986784
148,0.9642862077906668
149,0.963807276800213
150,0.9633252636571916
151,0.9628401712095244
152,0.9623520023231612
153,0.96186075988206
154,0.9613664467881653
155,0.960869065961389
156,0.960368620339589
157,0.9598651128785489
158,0.9593585465519568
159,0.9588489243513848
160,0.9583362492862678
161,0.957820524383882
162,0.9573017526893238
163,0.9567799372654887
164,0.9562550811930488
165,0.9557271875704321
166,0.9551962595137998
167,0.9546623001570254
168,0.9541253126516714
169,0.9535853001669682
170,0.9530422658897908
171,0.9524962130246375
172,0.9519471447936058
173,0.9513950644363716
174,0.9508399752101648
175,0.9502818803897469
176,0.9497207832673884
177,0.9491566871528445
178,0.9485895953733333
179,0.9480195112735113
180,0.9474464382154498
181,0.9468703795786119
182,0.9462913387598283
183,0.9457093191732734
184,0.9451243242504417
185,0.9445363574401228
186,0.9439454222083775
187,0.9433515220385144
188,0.9427546604310634
189,0.9421548409037528
190,0.9415520669914836
191,0.9409463422463054
192,0.9403376702373902
193,0.9397260545510088
194,0.9391114987905042
195,0.9384940065762671
196,0.9378735815457101
197,0.9372502273532423
198,0.9366239476702429
199,0.9359947461850371
200,0.9353626266028675
201,0.9347275926458708
202,0.9340896480530497
