,Frequencia,Amplitude,Fase
82,-178.4313725490196,1.0,1.3428768597697545
83,-174.50980392156862,1.0,1.244317090245369
84,-170.58823529411768,1.0,1.1457573207209846
85,-166.66666666666669,1.0,1.0471975511965974
86,-162.7450980392157,1.0,0.948637781672212
87,-158.8235294117647,1.0,0.8500780121478262
88,-154.90196078431376,1.0,0.7515182426234417
89,-150.98039215686276,1.0,0.6529584730990554
90,-147.05882352941177,1.0,0.5543987035746696
91,-143.13725490196077,1.0,0.4558389340502833
92,-139.21568627450984,1.0,0.3572791645258988
93,-135.29411764705884,1.0,0.258719395001513
94,-131.37254901960785,1.0,0.16015962547712714
95,-127.45098039215685,1.0,0.06159985595274087
96,-123.52941176470591,1.0,-0.03695991357164363
97,-119.60784313725492,1.0,-0.1355196830960299
98,-115.68627450980392,1.0,-0.23407945262041618
99,-111.76470588235298,1.0,-0.3326392221448007
100,-107.84313725490199,1.0,-0.4311989916691865
101,-103.921568627451,1.0,-0.5297587611935723
102,-100.0,1.0,-0.6283185307179586
103,-96.07843137254906,1.0,-0.7268783002423431
104,-92.15686274509807,1.0,-0.825438069766729
105,-88.23529411764707,1.0,-0.9239978392911152
106,-84.31372549019608,1.0,-1.0225576088155015
107,-80.39215686274514,1.0,-1.121117378339886
108,-76.47058823529414,1.0,-1.2196771478642718
109,-72.54901960784315,1.0,-1.318236917388658
110,-68.62745098039215,1.0,-1.4167966869130442
111,-64.70588235294122,1.0,-1.5153564564374287
112,-60.78431372549022,1.0,-1.6139162259618147
113,-56.86274509803923,1.0,-1.7124759954862006
114,-52.94117647058823,1.0,-1.8110357650105868
115,-49.019607843137294,1.0,-1.9095955345349713
116,-45.0980392156863,1.0,-2.0081553040593576
117,-41.176470588235304,1.0,-2.106715073583743
118,-37.25490196078431,1.0,-2.2052748431081293
119,-33.33333333333337,1.0,-2.3038346126325138
120,-29.411764705882376,1.0,-2.4023943821569
121,-25.49019607843138,1.0,-2.5009541516812863
122,-21.568627450980387,1.0,-2.599513921205672
123,-17.64705882352945,1.0,-2.6980736907300567
