,Tempo,Frequencia,m,Mf
0,-20.0,-2.5,0,0.0
1,-19.798994974874372,-2.4748743718592965,0,0.01000123382739762
2,-19.597989949748744,-2.449748743718593,0,0.0
3,-19.396984924623116,-2.4246231155778895,0,0.01001111358785244
4,-19.195979899497488,-2.399497487437186,0,0.0
5,-18.99497487437186,-2.3743718592964824,0,0.010030921984828254
6,-18.79396984924623,-2.349246231155779,0,0.0
7,-18.592964824120603,-2.3241206030150754,0,0.010060757361862923
8,-18.391959798994975,-2.298994974874372,0,0.0
9,-18.190954773869347,-2.2738693467336684,0,0.010100768726137844
10,-17.98994974874372,-2.248743718592965,0,0.0
11,-17.78894472361809,-2.2236180904522613,0,0.010151157576625021
12,-17.587939698492463,-2.198492462311558,0,0.0
13,-17.386934673366834,-2.1733668341708543,0,0.010212180406265677
14,-17.185929648241206,-2.148241206030151,0,0.0
15,-16.984924623115578,-2.1231155778894473,0,0.01028415193665208
16,-16.78391959798995,-2.0979899497487438,0,0.0
17,-16.582914572864322,-2.0728643216080402,0,0.010367449162320177
18,-16.381909547738694,-2.0477386934673367,0,0.0
19,-16.180904522613066,-2.022613065326633,0,0.010462516303396487
20,-15.979899497487438,-1.9974874371859297,0,0.0
21,-15.77889447236181,-1.9723618090452262,0,0.01056987079093233
22,-15.577889447236181,-1.9472361809045227,0,0.0
23,-15.376884422110553,-1.9221105527638191,0,0.010690110439989247
24,-15.175879396984925,-1.8969849246231156,0,0.0
25,-14.974874371859297,-1.8718592964824121,0,0.010823922002923933
26,-14.773869346733669,-1.8467336683417086,0,0.0
27,-14.57286432160804,-1.821608040201005,0,0.010972091341295367
28,-14.371859296482413,-1.7964824120603016,0,0.0
29,-14.170854271356784,-1.771356783919598,0,0.01113551551190413
30,-13.969849246231156,-1.7462311557788945,0,0.0
31,-13.768844221105528,-1.721105527638191,0,0.011315217133977486
32,-13.5678391959799,-1.6959798994974875,0,0.0
33,-13.366834170854272,-1.670854271356784,0,0.011512361494813769
34,-13.165829145728644,-1.6457286432160805,0,0.0
35,-12.964824120603016,-1.620603015075377,0,0.011728276966140082
36,-12.763819095477388,-1.5954773869346734,0,0.0
37,-12.56281407035176,-1.57035175879397,0,0.011964479450898069
38,-12.361809045226131,-1.5452261306532664,0,0.0
39,-12.160804020100503,-1.520100502512563,0,0.012222701770860685
40,-11.959798994974873,-1.4949748743718592,0,0.0
41,-11.758793969849245,-1.4698492462311556,0,0.01250492915409784
42,-11.557788944723617,-1.4447236180904521,0,0.0
43,-11.356783919597989,-1.4195979899497486,0,0.01281344230820676
44,-11.15577889447236,-1.394472361809045,0,0.0
45,-10.954773869346733,-1.3693467336683416,0,0.013150869998907851
46,-10.753768844221105,-1.344221105527638,0,0.0
47,-10.552763819095476,-1.3190954773869346,0,0.013520253634400263
48,-10.351758793969848,-1.293969849246231,0,0.0
49,-10.15075376884422,-1.2688442211055275,0,0.01392512714149013
50,-9.949748743718592,-1.243718592964824,1,0.0
51,-9.748743718592964,-1.2185929648241205,1,0.01436961649357094
52,-9.547738693467336,-1.193467336683417,1,0.0
53,-9.346733668341708,-1.1683417085427135,1,0.014858564735817172
54,-9.14572864321608,-1.14321608040201,1,0.0
55,-8.944723618090451,-1.1180904522613064,1,0.015397690432223683
56,-8.743718592964823,-1.092964824120603,1,0.0
57,-8.542713567839195,-1.0678391959798994,1,0.015993790408680625
58,-8.341708542713567,-1.0427135678391959,1,0.0
59,-8.140703517587939,-1.0175879396984924,1,0.016655001910657503
60,-7.939698492462311,-0.9924623115577889,1,0.0
61,-7.738693467336683,-0.9673366834170853,1,0.01739114549730639
62,-7.537688442211055,-0.9422110552763818,1,0.0
63,-7.3366834170854265,-0.9170854271356783,1,0.018214179214740816
64,-7.135678391959798,-0.8919597989949748,1,0.0
65,-6.93467336683417,-0.8668341708542713,1,0.019138808554309432
66,-6.733668341708542,-0.8417085427135678,1,0.0
67,-6.532663316582914,-0.8165829145728642,1,0.020183318280895583
68,-6.331658291457286,-0.7914572864321607,1,0.0
69,-6.130653266331658,-0.7663316582914572,1,0.021370726325276118
70,-5.92964824120603,-0.7412060301507537,1,0.0
71,-5.7286432160804015,-0.7160804020100502,1,0.02273041521461959
72,-5.527638190954773,-0.6909547738693467,1,0.0
73,-5.326633165829145,-0.6658291457286432,1,0.02430048864855297
74,-5.125628140703517,-0.6407035175879396,1,0.0
75,-4.924623115577889,-0.6155778894472361,1,0.026131259297527513
76,-4.723618090452261,-0.5904522613065326,1,0.0
77,-4.522613065326633,-0.5653266331658291,1,0.028290556388915016
78,-4.321608040201005,-0.5402010050251256,1,0.0
79,-4.1206030150753765,-0.5150753768844221,1,0.030872066268084156
80,-3.9195979899497466,-0.4899497487437183,1,0.0
81,-3.7185929648241185,-0.4648241206030148,1,0.03400894075361801
82,-3.5175879396984904,-0.4396984924623113,1,0.0
83,-3.3165829145728623,-0.4145728643216078,1,0.037897011465597784
84,-3.115577889447234,-0.38944723618090427,1,0.0
