,Tempo,x,y,Frequencia,Xf,Yf
0,0.0,-6.2528371445095934e-18,3.9097972355758887e-35,-100.0,0.005273622013718782,8.100028227112088e-07
1,0.005,0.009094104203607104,8.27027312660644e-05,-98.99497487437186,0.005275146502151037,8.114013661797426e-07
2,0.01,0.012992240252399619,0.00016879830677607292,-97.98994974874373,0.00527972375268751,8.156092263789105e-07
3,0.015,0.00928161150677424,8.614831216268397e-05,-96.98492462311557,0.00528736514228513,8.226633083055664e-07
4,0.02,-3.8981718325193755e-17,1.5195743635847466e-33,-95.97989949748744,0.005298089703727388,8.326258234582495e-07
5,0.025,-0.00947701385428533,8.981379159431607e-05,-94.9748743718593,0.005311924233081633,8.455853794039903e-07
6,0.03,-0.013545101539735772,0.0001834697757217524,-93.96984924623115,0.005328903441756738,8.61658538665877e-07
7,0.035,-0.009680820603839764,9.37182875637285e-05,-92.96482412060301,0.00534907015461511,8.8099190777291e-07
8,0.04,8.814971340095828e-17,7.770371972671083e-33,-91.95979899497488,0.0053724755562491455,9.037648092957706e-07
9,0.045,0.009893585891836367,9.78830417991436e-05,-90.95477386934674,0.005399179487981298,9.301926330723687e-07
10,0.05,0.014147106052612915,0.000200140609663877,-89.9497487437186,0.005429250798747842,9.605309603255563e-07
11,0.055,0.010115913664686603,0.00010233170927139314,-88.94472361809045,0.005462767753588449,9.950806131864276e-07
12,0.06,-1.4178752621088318e-16,2.0103702589001886e-32,-87.93969849246231,0.0054998185042587355,1.0341937846658489e-06
13,0.065,-0.010348463404104743,0.00010709069482609513,-86.93467336683418,0.005540501627127159,1.0782814913734562e-06
14,0.07,-0.014805110985292589,0.00021919131128683128,-85.92964824120602,0.00558492673445693,1.12782260575095e-06
15,0.075,-0.010591956660671819,0.00011218954590155011,-84.92462311557789,0.005633215166101657,1.1833748355671858e-06
16,0.08,-1.4868942948262612e-17,2.2108546439868843e-34,-83.91959798994975,0.0056855007697778626,1.2455880862849433e-06
17,0.085,0.010847184532013287,0.0001176614122715483,-82.91457286432161,0.005741930779294524,1.31522080265567e-06
18,0.09,0.015527311521160521,0.00024109740307516427,-81.90954773869348,0.005802666801606182,1.3931599961991559e-06
19,0.095,0.011115016248853105,0.00012354358621226855,-80.90452261306532,0.005867885925202154,1.4804459669837122e-06
20,0.1,-3.898171832519376e-17,1.5195743635847472e-33,-79.89949748743719,0.005937781964243993,1.5783029060356668e-06
21,0.105,-0.011396409065279821,0.00012987813958319208,-78.89447236180905,0.006012566855205382,1.6881771036647564e-06
22,0.11,-0.016323583906861058,0.0002664593915643333,-77.8894472361809,0.006092472225184888,1.8117848644694234e-06
23,0.115,-0.01169241969035201,0.0001367126782153314,-76.88442211055276,0.006177751154394461,1.9511731347010564e-06
24,0.12,9.850087025901398e-17,9.702421441783104e-33,-75.87939698492463,0.0062686801586020946,2.1087967078392555e-06
25,0.125,0.012004217548761454,0.00014410123895799244,-74.87437185929649,0.006365561421827622,2.2876174795294357e-06
26,0.13,0.017205939793718414,0.00029604436418506283,-73.86934673366835,0.006468725314332011,2.4912331133830623e-06
27,0.135,0.012333100221330162,0.0001521053610693741,-72.8643216080402,0.006578533237119091,2.7240455874877334e-06
28,0.14,-3.8981718325193755e-17,1.5195743635847466e-33,-71.85929648241206,0.006695380840955426,2.9914842555878174e-06
29,0.145,-0.012680511495170502,0.00016079537177915123,-70.85427135678393,0.0068197016766248526,3.300304603826021e-06
30,0.15,-0.018189136353359465,0.0003308446812811028,-69.84924623115577,0.006951971343037811,3.6589933773145678e-06
31,0.155,-0.013048062553001522,0.0001702519363870406,-68.84422110552764,0.007092712212127043,4.0783256989862515e-06
32,0.16,-2.7539686777311167e-17,7.584343477924076e-34,-67.8391959798995,0.007242498824142962,4.572142772996113e-06
33,0.165,0.01343755695756879,0.0001805679369879054,-66.83417085427136,0.007401964064841941,5.158455892828595e-06
34,0.17,0.019291508253563076,0.0003721622906972923,-65.82914572864323,0.007571806257898106,5.861042699117913e-06
35,0.17500000000000002,0.013851020248570704,0.00019185076192631566,-64.82412060301507,0.007752797332549577,6.711803089948232e-06
36,0.18,-3.8981718325193755e-17,1.5195743635847466e-33,-63.81909547738694,0.007945792259336198,7.754316862618182e-06
37,0.185,-0.014290735177096914,0.00020422511190191516,-62.8140703517588,0.008151739987468334,9.049356613138881e-06
38,0.19,-0.020536121689276817,0.0004217322940367857,-61.80904522613066,0.008371696167846748,1.0683684315532238e-05
39,0.195,-0.014759283871427954,0.00021783646039739334,-60.80402010050251,0.00860683800882417,1.2784565529805336e-05
40,0.2,1.1437264410803267e-16,1.30811017202627e-32,-59.798994974874375,0.008858481691329467,1.5544662577034185e-05
41,0.20500000000000002,0.015259598578934046,0.00023285534879020594,-58.79396984924624,0.00912810286990999,1.92667036467975e-05
42,0.21,0.021952405943709695,0.00048190812671742076,-57.788944723618094,0.009417360914397627,2.4448049879000067e-05
43,0.215,0.01579502309047559,0.00024948275442865706,-56.78391959798995,0.009728127709775172,3.195146494488739e-05
44,0.22,1.2257026549517533e-16,1.5023469983557766e-32,-55.77889447236181,0.010062522043283978,4.337839738283514e-05
45,0.225,-0.01636938756649282,0.00026795684930204977,-54.773869346733676,0.010422950881198767,6.197063146986398e-05
46,0.23,-0.023578510087688197,0.0005559461379552141,-53.76884422110553,0.01081215919711842,9.50909946869985e-05
47,0.23500000000000001,-0.01698710030485105,0.0002885615767670706,-52.76381909547739,0.011233290487141778,0.00016237777731488434
48,0.24,-4.8007811424235754e-17,2.304749957744981e-33,-51.75879396984925,0.011689960739236394,0.00033057733572391945
