,Tempo,m,Frequencia,Mf
0,-20.0,0.0,-10.0,4.420352364639004e-16
1,-19.94993742177722,-0.0,-9.97496871088861,0.0029299020626488174
2,-19.899874843554443,-0.0,-9.949937421777221,0.0041547362525554375
3,-19.849812265331664,0.0,-9.924906132665832,0.0029613952997595257
4,-19.799749687108886,0.0,-9.899874843554443,4.377833584904547e-05
5,-19.749687108886107,-0.0,-9.874843554443054,0.002900569103899321
6,-19.69962453066333,-0.0,-9.849812265331664,0.004157822486086523
7,-19.64956195244055,0.0,-9.824780976220275,0.0029951356493732964
8,-19.59949937421777,0.0,-9.799749687108886,8.767593558070663e-05
9,-19.549436795994993,-0.0,-9.774718397997496,0.0028733196899957867
10,-19.499374217772214,-0.0,-9.749687108886107,0.004164009496213292
11,-19.449311639549435,0.0,-9.724655819774718,0.0030312207630722936
12,-19.399249061326657,0.0,-9.699624530663328,0.0001318130346642478
13,-19.34918648310388,-0.0,-9.67459324155194,0.0028480865920068594
14,-19.2991239048811,-0.0,-9.64956195244055,0.004173326544323557
15,-19.249061326658325,0.0,-9.624530663329162,0.003069759959741039
16,-19.198998748435546,0.0,-9.599499374217773,0.00017631182823577924
17,-19.148936170212767,-0.0,-9.574468085106384,0.0028248116006826004
18,-19.09887359198999,-0.0,-9.549436795994994,0.004185817964565757
19,-19.04881101376721,0.0,-9.524405506883605,0.003110875223938537
20,-18.99874843554443,0.0,-9.499374217772216,0.000221297492633921
21,-18.948685857321653,-0.0,-9.474342928660827,0.002803445145513621
22,-18.898623279098874,-0.0,-9.449311639549437,0.004201543705601742
23,-18.848560700876096,0.0,-9.424280350438048,0.0031547023716737036
24,-18.798498122653317,0.0,-9.399249061326659,0.0002668992583545317
25,-18.74843554443054,-0.0,-9.37421777221527,0.0027839460128503044
26,-18.69837296620776,-0.0,-9.34918648310388,0.004220580072112281
27,-18.64831038798498,0.0,-9.32415519399249,0.0032013924067565286
28,-18.598247809762203,0.0,-9.299123904881101,0.00031325155390507894
29,-18.548185231539424,-0.0,-9.274092615769712,0.002766281160337186
30,-18.498122653316646,-0.0,-9.249061326658323,0.004243020683451935
31,-18.448060075093867,0.0,-9.224030037546934,0.003251113095786648
32,-18.39799749687109,0.0,-9.198998748435544,0.00036049524219290073
33,-18.34793491864831,-0.0,-9.173967459324155,0.00275042562711608
34,-18.29787234042553,-0.0,-9.148936170212766,0.0042689776723161856
35,-18.247809762202753,0.0,-9.123904881101376,0.0033040507957681794
36,-18.197747183979974,0.0,-9.098873591989987,0.0004087789739412513
37,-18.147684605757195,-0.0,-9.073842302878598,0.0027363625413172497
38,-18.097622027534417,-0.0,-9.048811013767208,0.004298583152776465
39,-18.04755944931164,0.0,-9.02377972465582,0.003360412575644811
40,-17.99749687108886,0.0,-8.99874843554443,0.0004582606863510649
41,-17.947434292866085,-0.0,-8.973717146433042,0.0027240832288893146
42,-17.897371714643306,-0.0,-8.948685857321653,0.004331990994595372
43,-17.847309136420527,0.0,-8.923654568210264,0.0034204286817037855
44,-17.79724655819775,0.0,-8.898623279098874,0.0005091092800041028
45,-17.74718397997497,-0.0,-8.873591989987485,0.0027135874302626874
46,-17.69712140175219,-0.0,-8.848560700876096,0.004369378949895043
47,-17.647058823529413,0.0,-8.823529411764707,0.0034843554077366866
48,-17.596996245306634,0.0,-8.798498122653317,0.0005615065129975796
49,-17.546933667083856,-0.0,-8.773466833541928,0.002704883634362899
50,-17.496871088861077,-0.0,-8.748435544430539,0.004410951189369487
51,-17.4468085106383,0.0,-8.72340425531915,0.0035524784440954284
52,-17.39674593241552,0.0,-8.69837296620776,0.0006156491590375666
53,-17.34668335419274,-0.0,-8.67334167709637,0.002697989542882339
54,-17.296620775969963,-0.0,-8.648310387984981,0.004456941318935193
55,-17.246558197747184,0.0,-8.623279098873592,0.0036251167965651115
56,-17.196495619524406,0.0,-8.598247809762203,0.0006717514857676643
57,-17.146433041301627,-0.0,-8.573216520650814,0.0026929326818820216
58,-17.09637046307885,-0.0,-8.548185231539424,0.004507615964627184
59,-17.04630788485607,0.0,-8.523153942428035,0.003702627386721
60,-16.99624530663329,0.0,-8.498122653316646,0.0007300481220727074
61,-16.946182728410513,-0.0,-8.473091364205256,0.002689751182724164
62,-16.896120150187734,-0.0,-8.448060075093867,0.004563279034953979
63,-16.846057571964955,0.0,-8.423028785982478,0.0037854104719449175
64,-16.795994993742177,0.0,-8.397997496871088,0.0007907973985284832
65,-16.7459324155194,-0.0,-8.3729662077597,0.002688494760595898
66,-16.69586983729662,-0.0,-8.34793491864831,0.004624276796756397
67,-16.64580725907384,0.0,-8.32290362953692,0.0038739160565911665
68,-16.595744680851062,0.0,-8.297872340425531,0.0008542852652693087
69,-16.545682102628284,-0.0,-8.272841051314142,0.0026892259266160165
70,-16.495619524405505,-0.0,-8.247809762202753,0.004691003934865564
71,-16.445556946182727,0.0,-8.222778473091363,0.003968651508675739
72,-16.395494367959948,0.0,-8.197747183979974,0.0009208299171737061
73,-16.345431789737173,-0.0,-8.172715894868587,0.002692021479344493
74,-16.295369211514394,-0.0,-8.147684605757197,0.004763910809886121
75,-16.245306633291616,0.0,-8.122653316645808,0.0040701906515961065
76,-16.195244055068837,0.0,-8.097622027534419,0.000990787289404217
77,-16.14518147684606,-0.0,-8.07259073842303,0.002696974334188228
78,-16.09511889862328,-0.0,-8.04755944931164,0.004843512185244284
79,-16.0450563204005,0.0,-8.02252816020025,0.004179184671867894
80,-15.994993742177723,0.0,-7.997496871088861,0.0010645576296659171
