,Frequencia,FaseFiltro,Frequencia2,Banda,Approx
0,0.0,0.0,32310.0,-1.5707963267948966,-0.0
1,466.73003839265493,-0.0029325429131839024,32310.0,-1.5692608465145497,-0.002932551319648094
2,933.4600767853099,-0.0058650353886236664,32310.0,-1.5677253662342028,-0.005865102639296188
3,1400.190115177965,-0.008797426993779932,32310.0,-1.5661898859538559,-0.008797653958944282
4,1866.9201535706197,-0.011729667306521543,32310.0,-1.564654405673509,-0.011730205278592375
5,2333.6501919632747,-0.014661705920326304,32310.0,-1.5631189253931619,-0.014662756598240468
6,2800.38023035593,-0.017593492449477693,32310.0,-1.561583445112815,-0.017595307917888565
7,3267.1102687485845,-0.020524976534256237,32310.0,-1.560047964832468,-0.020527859237536656
8,3733.8403071412395,-0.023456107846124143,32310.0,-1.5585124845521212,-0.02346041055718475
9,4200.570345533894,-0.026386836092901954,32310.0,-1.5569770042717743,-0.026392961876832845
10,4667.300383926549,-0.029317111023935787,32310.0,-1.5554415239914274,-0.029325513196480937
11,5134.030422319204,-0.03224688243525392,32310.0,-1.5539060437110805,-0.03225806451612903
12,5600.76046071186,-0.03517610017471136,32310.0,-1.5523705634307337,-0.03519061583577713
13,6067.490499104514,-0.03810471414712109,32310.0,-1.5508350831503865,-0.038123167155425214
14,6534.220537497169,-0.0410326743193707,32310.0,-1.5492996028700396,-0.04105571847507331
15,7000.950575889824,-0.04395993072552304,32310.0,-1.5477641225896928,-0.0439882697947214
16,7467.680614282479,-0.046886433471899754,32310.0,-1.5462286423093459,-0.0469208211143695
17,7934.410652675135,-0.049812132742146215,32310.0,-1.544693162028999,-0.0498533724340176
18,8401.140691067789,-0.052736978802276666,32310.0,-1.543157681748652,-0.05278592375366569
19,8867.870729460445,-0.05566092200569847,32310.0,-1.5416222014683052,-0.05571847507331378
20,9334.600767853099,-0.05858391279821384,32310.0,-1.5400867211879583,-0.05865102639296187
21,9801.330806245755,-0.06150590172299818,32310.0,-1.5385512409076112,-0.06158357771260997
22,10268.060844638409,-0.06442683942555355,32310.0,-1.5370157606272643,-0.06451612903225806
23,10734.790883031063,-0.06734667665863621,32310.0,-1.5354802803469174,-0.06744868035190615
24,11201.52092142372,-0.07026536428715692,32310.0,-1.5339448000665705,-0.07038123167155426
25,11668.250959816374,-0.07318285329305264,32310.0,-1.5324093197862236,-0.07331378299120235
26,12134.980998209028,-0.07609909478012904,32310.0,-1.5308738395058767,-0.07624633431085043
27,12601.711036601684,-0.07901403997887183,32310.0,-1.5293383592255299,-0.07917888563049853
28,13068.441074994338,-0.08192764025122634,32310.0,-1.527802878945183,-0.08211143695014662
29,13535.171113386994,-0.08483984709534415,32310.0,-1.5262673986648359,-0.08504398826979472
30,14001.901151779648,-0.08775061215029523,32310.0,-1.524731918384489,-0.0879765395894428
31,14468.631190172304,-0.09065988720074511,32310.0,-1.523196438104142,-0.09090909090909091
32,14935.361228564958,-0.09356762418159537,32310.0,-1.5216609578237952,-0.093841642228739
33,15402.091266957614,-0.0964737751825869,32310.0,-1.5201254775434483,-0.0967741935483871
34,15868.82130535027,-0.0993782924528644,32310.0,-1.5185899972631014,-0.0997067448680352
35,16335.551343742924,-0.10228112840550149,32310.0,-1.5170545169827545,-0.10263929618768329
36,16802.281382135578,-0.10518223562198517,32310.0,-1.5155190367024076,-0.10557184750733138
37,17269.011420528233,-0.10808156685665854,32310.0,-1.5139835564220605,-0.10850439882697946
38,17735.74145892089,-0.11097907504112128,32310.0,-1.5124480761417136,-0.11143695014662756
39,18202.47149731354,-0.11387471328858606,32310.0,-1.5109125958613667,-0.11436950146627564
40,18669.201535706197,-0.116768434898191,32310.0,-1.5093771155810198,-0.11730205278592375
41,19135.931574098853,-0.11966019335926625,32310.0,-1.507841635300673,-0.12023460410557185
42,19602.66161249151,-0.12254994235555453,32310.0,-1.506306155020326,-0.12316715542521994
43,20069.39165088416,-0.12543763576938424,32310.0,-1.5047706747399792,-0.126099706744868
44,20536.121689276817,-0.1283232276857948,32310.0,-1.5032351944596323,-0.12903225806451613
45,21002.851727669473,-0.13120667239661243,32310.0,-1.5016997141792854,-0.13196480938416422
46,21469.581766062125,-0.13408792440447703,32310.0,-1.5001642338989383,-0.1348973607038123
47,21936.31180445478,-0.13696693842681784,32310.0,-1.4986287536185914,-0.1378299120234604
48,22403.04184284744,-0.13984366939977788,32310.0,-1.4970932733382445,-0.14076246334310852
49,22869.771881240093,-0.14271807248208665,32310.0,-1.4955577930578976,-0.14369501466275658
50,23336.50191963275,-0.1455901030588796,32310.0,-1.4940223127775507,-0.1466275659824047
51,23803.231958025404,-0.14845971674546435,32310.0,-1.4924868324972038,-0.1495601173020528
52,24269.961996418057,-0.1513268693910324,32310.0,-1.490951352216857,-0.15249266862170086
53,24736.692034810712,-0.15419151708231632,32310.0,-1.4894158719365098,-0.15542521994134897
54,25203.42207320337,-0.15705361614719104,32310.0,-1.487880391656163,-0.15835777126099707
55,25670.15211159602,-0.15991312315821926,32310.0,-1.486344911375816,-0.16129032258064516
56,26136.882149988676,-0.16276999493614006,32310.0,-1.4848094310954691,-0.16422287390029325
57,26603.612188381336,-0.16562418855330005,32310.0,-1.4832739508151223,-0.16715542521994137
58,27070.342226773988,-0.16847566133702682,32310.0,-1.4817384705347754,-0.17008797653958943
59,27537.072265166644,-0.17132437087294408,32310.0,-1.4802029902544285,-0.17302052785923755
60,28003.802303559296,-0.1741702750082276,32310.0,-1.4786675099740816,-0.1759530791788856
61,28470.532341951952,-0.17701333185480211,32310.0,-1.4771320296937347,-0.17888563049853373
