,Tempo,m,Frequencia,Mf
102,0.5025125628140721,1,0.06281407035175901,0j
103,0.7035175879397002,1,0.08793969849246253,(1.4994163083902388+0.07071067811865475j)
104,0.9045226130653283,1,0.11306532663316604,0j
105,1.1055276381909565,1,0.13819095477386956,(-0.8984643532093762-0.07071067811865474j)
106,1.3065326633165846,1,0.16331658291457307,0j
107,1.5075376884422127,1,0.1884422110552766,(0.640489309905889+0.07071067811865471j)
108,1.7085427135678408,1,0.2135678391959801,0j
109,1.909547738693469,1,0.23869346733668362,(-0.49683912076553105-0.07071067811865472j)
110,2.110552763819097,1,0.26381909547738713,0j
111,2.311557788944725,1,0.28894472361809065,(0.4051539172845739+0.07071067811865474j)
112,2.5125628140703533,1,0.31407035175879416,0j
113,2.7135678391959814,1,0.3391959798994977,(-0.3414489494846768-0.07071067811865474j)
114,2.9145728643216096,1,0.3643216080402012,0j
115,3.1155778894472377,1,0.3894472361809047,(0.29453117131057+0.0707106781186549j)
116,3.316582914572866,1,0.4145728643216082,0j
117,3.517587939698494,1,0.43969849246231174,(-0.2584747065017826-0.07071067811865482j)
118,3.718592964824122,1,0.46482412060301526,0j
119,3.91959798994975,1,0.48994974874371877,(0.22984865141904817+0.07071067811865472j)
120,4.120603015075378,1,0.5150753768844223,0j
121,4.321608040201006,1,0.5402010050251258,(-0.2065289901758321-0.07071067811865474j)
122,4.5226130653266345,1,0.5653266331658293,0j
123,4.723618090452263,1,0.5904522613065328,(0.18713037978831498+0.07071067811865467j)
124,4.924623115577891,1,0.6155778894472363,0j
125,5.125628140703519,1,0.6407035175879399,(-0.1707106781186547-0.07071067811865482j)
126,5.326633165829147,1,0.6658291457286434,0j
127,5.527638190954775,1,0.6909547738693469,(0.15660679240672343+0.07071067811865472j)
128,5.728643216080403,1,0.7160804020100504,0j
129,5.929648241206031,1,0.7412060301507539,(-0.14433845222756975-0.07071067811865474j)
130,6.1306532663316595,1,0.7663316582914574,0j
131,6.331658291457288,1,0.791457286432161,(0.13354923131000213+0.07071067811865471j)
132,6.532663316582916,1,0.8165829145728645,0j
133,6.733668341708544,1,0.841708542713568,(-0.12396901565067263-0.07071067811865475j)
134,6.934673366834172,1,0.8668341708542715,0j
135,7.1356783919598,1,0.891959798994975,(0.11538933938594767+0.07071067811865471j)
136,7.336683417085428,1,0.9170854271356785,0j
137,7.537688442211056,1,0.942211055276382,(-0.10764671951961578-0.07071067811865468j)
138,7.7386934673366845,1,0.9673366834170856,0j
139,7.939698492462313,1,0.9924623115577891,(0.10061111810045667+0.07071067811865468j)
140,8.14070351758794,1,1.0175879396984926,0j
141,8.341708542713569,1,1.042713567839196,(-0.09417778098999928-0.07071067811865475j)
142,8.542713567839197,1,1.0678391959798996,0j
143,8.743718592964825,1,1.0929648241206031,(0.08826135384096608+0.07071067811865471j)
144,8.944723618090453,1,1.1180904522613067,0j
145,9.145728643216081,1,1.1432160804020102,(-0.08279156679475037-0.07071067811865475j)
146,9.34673366834171,1,1.1683417085427137,0j
147,9.547738693467338,1,1.1934673366834172,(0.07771002059209295+0.07071067811865483j)
148,9.748743718592966,1,1.2185929648241207,0j
149,9.949748743718594,1,1.2437185929648242,(-0.07296775937779171-0.07071067811865482j)
150,10.150753768844222,0,1.2688442211055277,0j
151,10.35175879396985,0,1.2939698492462313,(0.06852341421246648+0.07071067811865477j)
152,10.552763819095478,0,1.3190954773869348,0j
